EC,KO1,KO2,KO3,KO4,KO5,KO6,KO7,KO8,WT1,WT2,WT3,WT4,WT5,WT6,WT7,WT8
1.-.-.-,6989,15135,11161,12407,9601,15305,18691,26281,11073,7780,11988,13270,9234,7285,20699,19551
1.1.-.-,28,66,78,40,107,187,113,55,239,242,472,190,544,43,37,57
1.1.1.-,5097,7184,7510,8520,8897,5451,18399,19419,8747,8810,13612,12127,29119,189632,32309,15689
1.1.1.1,5231,9606,13511,9773,4448,5372,5000,13954,5227,1208,12816,9373,6776,1847,9160,9305
1.1.1.100,2034,6627,2535,2929,2688,3418,2151,1701,16573,50633,21667,12135,3159,620,25458,81406
1.1.1.103,612,799,584,695,108,489,505,498,518,168,942,989,619,172,340,226
1.1.1.11,10,0,0,19,0,0,0,0,27,0,0,0,0,0,6,0
1.1.1.127,0,0,0,8,0,0,0,15,0,0,0,0,0,0,7,0
1.1.1.130,41,139,81,119,0,103,0,0,4,6,9,0,0,0,0,39
1.1.1.133,40,20,3,19,28,33,15,5,18,42,103,4,49,7,22,42
1.1.1.136,52,60,291,115,44,1192,2308,2468,1258,1757,1664,1378,426,106,1771,1832
1.1.1.138,19,30,2,18,0,12,47,0,34,0,101,45,39,0,25,26
1.1.1.14,196,179,984,3297,33,133,50,24,1619,5275,197,2335,6809,196,226,1193
1.1.1.140,325,1,8,26,0,2,0,1,223,46,158,2,2,0,0,8
1.1.1.144,10,20,0,7,0,0,0,0,0,0,0,0,0,0,0,0
1.1.1.146,1,21,8,1,1,105,31,45,9,2,20,7,3,0,0,2
1.1.1.157,6914,8915,8285,9753,1902,6817,6337,9792,6249,3270,6423,7878,2996,1827,9080,7989
1.1.1.169,55,129,20,26,71,45,35,48,10,15,31,9,39,3,30,3
1.1.1.17,0,14,2,0,0,0,0,5,29,4,73,0,0,0,43,138
1.1.1.175,32,57,0,111,0,0,0,0,0,0,0,0,0,0,0,0
1.1.1.179,0,87,0,0,248,7,1153,0,0,0,0,7,274,247,37,0
1.1.1.18,155,96,129,465,132,219,135,186,86,86,141,1291,57,53,571,400
1.1.1.188,0,2,50,46,0,0,5,12,0,17,1,24,0,0,0,7
1.1.1.193,3,29,2,79,2,31,2,2,7,20,49,4,25,16,31,95
1.1.1.2,20,20,19,11,32,109,0,123,2,33,50,5,50,1,1,16
1.1.1.200,10,19,1,0,2,0,2,5,0,2,0,0,0,1,6,12
1.1.1.202,0,1,0,0,0,8,0,8,0,6,6,0,0,0,10,14
1.1.1.205,4037,6334,8671,5808,5210,10391,7583,12705,5000,4087,8595,8774,8267,14822,9107,7409
1.1.1.22,100,3329,462,1179,2094,1711,446,1656,727,746,1654,459,3085,2033,698,1657
1.1.1.23,113,301,567,543,1825,997,813,1337,645,1189,1720,619,552,62,428,628
