"","super_pathway","pathway_name","ECs","num_ECs","num_exp_ECs","num_sig_ECs","pvalues_exp","padj_exp","pvalues_sig","padj_sig"
"ec00253"," Metabolism of terpenoids and polyketides","Tetracycline biosynthesis","1.14.13.38,6.4.1.2",2,1,0,0.663283890996896,1,1,1
"ec00281"," Metabolism of terpenoids and polyketides","Geraniol degradation","1.1.1.183,1.1.1.35,1.2.1.86,2.3.1.16,4.1.3.26,4.1.3.4,4.2.1.17,4.2.1.57,6.4.1.5",9,3,1,0.803761935695725,1,0.379794755689247,1
"ec00522"," Metabolism of terpenoids and polyketides","Biosynthesis of 12-, 14- and 16-membered macrolides","1.14.13.154,1.14.13.185,1.14.13.186,1.14.13.188,2.1.1.101,2.1.1.102,2.1.1.239,2.1.1.254,2.3.1.94,2.4.1.277,2.4.1.278,2.4.1.316,2.4.1.317,2.4.1.318",14,0,0,1,1,1,1
"ec00523"," Metabolism of terpenoids and polyketides","Polyketide sugar unit biosynthesis","1.1.1.133,1.1.1.266,1.1.1.344,1.1.1.364,2.1.1.234,2.1.1.235,2.6.1.106,2.6.1.33,2.7.7.24,4.2.1.46,4.3.1.30,5.1.3.13,5.1.3.25",13,5,0,0.699903058206992,1,1,1
"ec00900"," Metabolism of terpenoids and polyketides","Terpenoid backbone biosynthesis","1.1.1.216,1.1.1.267,1.1.1.34,1.1.1.88,1.17.1.2,1.17.7.1,1.3.1.83,1.8.3.5,1.8.3.6,2.1.1.100,2.2.1.7,2.3.1.9,2.3.3.10,2.5.1.1,2.5.1.10,2.5.1.20,2.5.1.29,2.5.1.30,2.5.1.31,2.5.1.58,2.5.1.68,2.5.1.82,2.5.1.83,2.5.1.84,2.5.1.85,2.5.1.86,2.5.1.87,2.5.1.88,2.5.1.89,2.5.1.90,2.5.1.91,2.5.1.92,2.7.1.148,2.7.1.36,2.7.4.2,2.7.4.26,2.7.7.60,3.1.7.6,3.4.24.84,4.1.1.33,4.2.3.27,4.6.1.12,5.3.3.2",43,17,1,0.68225006489891,1,0.934391092403772,1
"ec00902"," Metabolism of terpenoids and polyketides","Monoterpenoid biosynthesis","1.1.1.207,1.1.1.208,1.1.1.223,1.1.1.241,1.1.1.243,1.1.1.275,1.1.1.324,1.14.13.104,1.14.13.105,1.14.13.151,1.14.13.152,1.14.13.156,1.14.13.47,1.14.13.48,1.14.13.49,1.14.13.51,1.14.13.74,1.14.13.80,1.3.1.81,1.3.1.82,1.3.3.9,2.1.1.50,3.1.7.3,4.2.1.127,4.2.3.10,4.2.3.108,4.2.3.11,4.2.3.111,4.2.3.119,4.2.3.120,4.2.3.15,4.2.3.16,4.2.3.20,4.2.3.25,4.2.3.26,5.4.4.4,5.5.1.8",37,3,0,0.999999402807234,1,1,1
"ec00903"," Metabolism of terpenoids and polyketides","Limonene and pinene degradation","1.1.1.144,1.1.1.243,1.1.1.275,1.1.1.296,1.1.1.297,1.14.13.105,1.14.13.107,1.14.13.48,1.14.13.49,1.14.13.80,1.2.1.3,1.3.99.25,3.1.1.83,3.3.2.8,4.2.1.17,5.5.1.10",16,6,1,0.727703193044953,1,0.615837882239009,1
"ec00904"," Metabolism of terpenoids and polyketides","Diterpenoid biosynthesis","1.1.1.295,1.14.11.12,1.14.11.13,1.14.11.15,1.14.13.108,1.14.13.109,1.14.13.110,1.14.13.143,1.14.13.144,1.14.13.145,1.14.13.146,1.14.13.76,1.14.13.77,1.14.13.78,1.14.13.79,1.14.99.37,1.2.1.74,2.3.1.162,2.3.1.166,2.3.1.167,3.1.7.10,3.1.7.5,4.2.1.133,4.2.3.103,4.2.3.131,4.2.3.141,4.2.3.144,4.2.3.17,4.2.3.18,4.2.3.19,4.2.3.28,4.2.3.29,4.2.3.30,4.2.3.32,4.2.3.33,4.2.3.34,4.2.3.35,4.2.3.42,4.2.3.43,4.2.3.44,4.2.3.8,4.2.3.99,5.5.1.12,5.5.1.13,5.5.1.14",45,0,0,1,1,1,1
"ec00905"," Metabolism of terpenoids and polyketides","Brassinosteroid biosynthesis","1.14.13.112,1.3.1.22",2,1,0,0.663283890996896,1,1,1
"ec00906"," Metabolism of terpenoids and polyketides","Carotenoid biosynthesis","1.1.1.288,1.10.99.3,1.13.11.51,1.13.11.59,1.13.11.68,1.13.11.69,1.14.13.129,1.14.13.90,1.14.13.93,1.14.15.9,1.14.99.44,1.14.99.45,1.2.1.82,1.2.3.14,1.3.5.5,1.3.5.6,1.3.8.2,1.3.99.26,1.3.99.27,1.3.99.28,1.3.99.30,1.3.99.31,2.1.1.210,2.4.1.263,2.4.1.276,2.5.1.32,2.5.1.96,3.2.1.175,4.2.1.131,5.2.1.12,5.2.1.13,5.2.1.14,5.3.99.8,5.3.99.9,5.5.1.18,5.5.1.19",36,0,0,1,1,1,1
